id,make,model,year,engine,horsepower,torque,acceleration,price
1,Porsche,911,2022,3,379,331,4,"101,200"
2,Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390"
3,Ferrari,488 GTB,2022,3.9,661,561,3,"333,750"
4,Audi,R8,2022,5.2,562,406,3.2,"142,700"
5,McLaren,720S,2021,4,710,568,2.7,"298,000"
6,BMW,M8,2022,4.4,617,553,3.1,"130,000"
7,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500"
8,Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900"
9,Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000"
10,Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000"
11,Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495"
12,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000"
13,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000"
14,Jaguar,F-Type,2022,3,296,295,5.4,"70,100"
15,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000"
16,Lexus,LC 500,2021,5,471,398,4.4,"92,950"
17,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450"
18,Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000"
19,Porsche,Boxster,2021,2,300,280,4.7,"62,000"
20,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000"
21,Ariel,Atom,2021,2,320,243,2.8,"75,000"
22,Bentley,Continental GT,2021,6,626,664,3.6,"225,000"
23,McLaren,Artura,2022,3,671,531,3,"225,000"
24,Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000"
25,Pagani,Huayra,2021,6,720,737,2.8,"2,800,000"
26,Polestar,1,2021,2,600,738,4.1,"155,000"
27,Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000"
28,Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200"
29,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770"
30,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
31,Audi,RS7,2022,4,591,590,3.5,"117,000"
32,McLaren,Artura,2021,3,671,531,3,"225,000"
33,BMW,M4,2022,3,503,479,3.8,"72,800"
34,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000"
35,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
36,Ford,GT,2022,3.5,660,550,3,"500,000"
37,Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690"
38,Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000"
39,Lamborghini,Urus,2021,4,641,626,3.5,"218,000"
40,Ferrari,Roma,2021,3.9,611,561,3.3,"222,000"
41,Audi,RS3,2022,2.5,394,369,3.9,"57,000"
42,McLaren,GT,2021,4,612,465,3.1,"210,000"
43,BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500"
44,Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,"132,000"
45,Porsche,Cayman,2021,2,300,280,5.1,"58,900"
46,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"518,000"
47,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
48,Audi,RS3,2022,2.5,394,369,3.9,"56,200"
49,McLaren,570S,2021,3.8,562,443,2.8,"192,500"
50,BMW,M4,2022,3,503,479,3.8,"71,800"
51,Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"68,000"
52,Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"42,500"
53,Ford,Mustang GT,2022,5,460,420,4.3,"39,000"
54,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,100"
55,Aston Martin,Vantage,2021,4,503,505,3.5,"142,100"
56,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000"
57,Porsche,Panamera,2021,2.9,325,331,5.1,"87,200"
58,Lamborghini,Urus,2021,4,641,627,3.2,"218,000"
59,Ferrari,Roma,2021,3.9,612,560,3.4,"222,000"
60,Audi,S5,2022,3,349,369,4.4,"52,500"
61,McLaren,600LT,2021,3.8,592,457,2.8,"241,000"
62,BMW,M5,2022,4.4,600,553,3.2,"103,500"
63,Aston Martin,Vantage,2022,4,503,505,3.5,"146,000"
64,Audi,RS5,2021,2.9,444,443,3.6,"75,400"
65,BMW,M2,2022,3,405,406,4,"58,900"
66,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,900"
67,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"78,595"
68,Ford,GT,2021,3.5,660,550,3,"500,000"
69,Jaguar,F-Type,2022,2,296,295,5.4,"62,750"
70,Lamborghini,Aventador,2021,6.5,770,531,2.9,"417,826"
71,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980"
72,McLaren,Artura,2022,3,671,531,3,"225,000"
73,Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,"70,100"
74,Nissan,370Z,2021,3.7,332,270,5,"30,090"
75,Porsche,Panamera,2022,2.9,325,331,5.3,"88,700"
76,Audi,TT RS,2021,2.5,394,354,3.6,"67,600"
77,BMW,M4,2022,3,473,406,4.1,"72,800"
78,Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,"59,900"
79,Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280"
80,Ford,Mustang Mach 1,2021,5,480,420,4.3,"52,915"
81,Lamborghini,Urus,2021,4,641,627,3.6,"218,009"
82,Porsche,718 Cayman,2022,2,300,280,4.5,"61,000"
83,Acura,NSX,2022,3.5,573,476,2.9,"159,495"
84,Aston Martin,Vantage,2022,4,503,505,3.5,"142,086"
85,Bentley,Continental GT,2021,6,626,664,3.3,"219,800"
86,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000"
87,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"74,290"
88,Jaguar,F-Type,2022,3,380,339,4.9,"71,900"
89,Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000"
90,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
91,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000"
92,Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300"
93,Mazda,MX-5 Miata,2021,2,181,151,6.5,"26,830"
94,McLaren,GT,2022,4,620,465,3.1,"213,195"
95,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580"
96,Pagani,Huayra,2022,6,764,738,2.8,"2,800,000"
97,Porsche,718 Cayman GT4,2022,4,414,309,4.2,"100,550"
98,Rimac,Nevera,2022,Electric,1914,1696,1.95,"2,400,000"
99,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000"
100,Tesla,Roadster,2022,Electric,1000+,737,1.9,"200,000"
101,Toyota,Supra,2022,3,382,368,3.9,"43,090"
102,W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,"1,700,000"
103,Porsche,718 Cayman,2022,2,300,280,4.7,"60,500"
104,Lamborghini,Aventador,2021,6.5,770,531,2.9,"522,000"
105,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
106,Audi,TT RS,2022,2.5,394,354,3.4,"67,000"
107,McLaren,GT,2021,4,612,465,3.1,"212,500"
108,BMW,M4,2022,3,503,479,3.8,"75,000"
109,Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,"155,000"
110,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000"
111,Ford,GT,2022,3.5,660,550,2.8,"500,000"
112,Nissan,370Z,2021,3.7,332,270,4.7,"31,015"
113,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995"
114,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000"
115,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000"
116,McLaren,570S,2021,3.8,562,443,3.2,"192,500"
117,Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,"190,000"
118,Lamborghini,Urus,2021,4,641,627,3.6,"222,000"
119,Ferrari,Roma,2021,3.9,611,561,3.3,"222,000"
120,Audi,RS7,2021,4,591,590,3.5,"115,000"
121,BMW,M2,2022,3,405,406,4.2,"59,000"
122,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,100"
123,Lamborghini,Aventador,2021,6.5,730,509,2.9,"417,826"
124,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"304,995"
125,Bentley,Continental GT,2021,6,626,664,3.6,"220,300"
126,Audi,RS7,2022,4,591,590,3.5,"114,000"
127,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,"239,100"
128,McLaren,570S,2021,3.8,562,443,3.1,"192,500"
129,BMW,M2,2022,3,405,406,4,"58,900"
130,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500"
131,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,290"
132,Ferrari,Portofino,2021,3.9,592,560,3.5,"219,750"
133,Porsche,Panamera Turbo S,2022,4,620,604,2.9,"187,700"
134,Lamborghini,Urus,2021,4,641,627,3.6,"222,004"
135,Mercedes-Benz,AMG C63,2021,4,469,479,3.8,"71,350"
136,Aston Martin,Vantage,2021,4,503,505,3.6,"146,000"
137,Audi,S5,2022,3,349,369,4.4,"52,500"
138,Porsche,Cayman,2022,2.5,365,309,4.5,"68,900"
139,Lamborghini,Aventador,2021,6.5,730,507,2.8,"517,770"
140,Ferrari,F8 Tributo,2022,3.9,710,568,2.9,"276,550"
141,Audi,TT RS,2021,2.5,394,354,3.6,"67,600"
142,McLaren,570S,2021,3.8,562,443,3.1,"192,500"
143,BMW,Z4 M40i,2022,3,382,369,3.9,"63,700"
144,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580"
145,Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"44,000"
146,Ford,Mustang Mach 1,2021,5,480,420,4,"51,720"
147,Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790"
148,Porsche,Panamera,2022,2.9,325,331,5.4,"88,550"
149,Lamborghini,Urus,2021,4,641,627,3.5,"218,009"
150,Ferrari,Roma,2021,3.9,612,561,3.3,"222,620"
151,Audi,RS 3,2022,2.5,401,369,3.6,"56,200"
152,McLaren,GT,2021,4,612,465,3.2,"200,000"
153,BMW,M2 CS,2022,3,444,406,3.8,"84,595"
154,Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"77,500"
155,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500"
156,Acura,NSX,2021,3.5,573,476,2.7,"157,500"
157,Aston Martin,DB11,2022,4,503,513,3.7,"204,100"
158,Bentley,Continental GT,2021,6,626,664,3.4,"220,300"
159,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000"
160,Dodge,Viper,2017,8.4,645,600,3.3,"120,000"
161,Jaguar,F-Type,2022,3,380,339,4.9,"69,900"
162,Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000"
163,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
164,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,950"
165,Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,000"
166,McLaren,570S,2020,3.8,562,443,3.1,"204,550"
167,Pagani,Huayra,2020,6,720,738,3,"2,700,000"
168,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900"
169,Rimac,C_Two,2022,N/A,1914,1696,1.9,"2,400,000"
170,Rolls-Royce,Wraith,2021,6.6,624,605,4.3,"330,000"
171,Shelby,Cobra,1965,7,435,440,4.2,"1,000,000"
172,Tesla,Model S Plaid,2021,N/A,1020,1050,1.98,"131,190"
173,Toyota,GR Supra,2022,3,382,368,3.9,"43,090"
174,TVR,Griffith,2022,5,500,479,3.8,"123,500"
175,W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"3,400,000"
176,Porsche,718 Cayman,2021,2,300,280,4.5,"61,500"
177,Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"518,000"
178,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"507,000"
179,Audi,RS 6,2021,4,591,590,3.5,"109,000"
180,McLaren,GT,2021,4,612,465,3.1,"210,000"
181,BMW,M2 CS,2022,3,444,406,3.8,"84,595"
182,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"228,000"
183,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
184,Ford,GT,2022,3.5,660,550,2.8,"500,000"
185,Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000"
186,Porsche,Taycan,2021,Electric,750,774,2.6,"185,000"
187,Lamborghini,Urus,2021,4,641,627,3.6,"222,004"
188,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"276,550"
189,Audi,RS 3,2022,2.5,401,354,3.5,"56,000"
190,McLaren,570S,2021,3.8,562,443,3.1,"191,000"
191,BMW,M5,2022,4.4,600,553,3.2,"104,000"
192,Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"69,900"
193,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000"
194,Porsche,Taycan,2022,2,402,254,5.1,"81,250"
195,Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,700"
196,Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"330,000"
197,Audi,RS 6 Avant,2021,4,591,590,3.5,"109,000"
198,McLaren,600LT,2021,3.8,592,457,2.8,"242,500"
199,Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"77,000"
200,BMW,M4,2022,3,473,406,4.1,"72,800"
201,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000"
202,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"76,000"
203,Ford,GT,2022,3.5,660,550,2.9,"500,000"
204,Nissan,370Z,2021,3.7,332,270,4.9,"30,090"
205,Porsche,Panamera,2022,2.9,325,332,5.3,"87,200"
206,Lamborghini,Urus,2021,4,641,626,3.5,"218,000"
207,Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000"
208,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280"
209,Audi,RS 7,2021,4,591,590,3.5,"114,000"
210,McLaren,570S,2021,3.8,562,443,3.1,"191,000"
211,Aston Martin,Vantage,2022,4,503,505,3.5,"142,086"
212,Jaguar,F-Type,2022,5,575,516,3.5,"103,200"
213,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"177,700"
214,Lamborghini,Aventador S,2021,6.5,729,509,2.9,"417,650"
215,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
216,Audi,RS7,2022,4,591,590,3.5,"115,045"
217,McLaren,600LT,2021,3.8,592,457,2.9,"256,500"
218,BMW,M2 Competition,2022,3,405,406,4,"59,895"
219,Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"152,500"
220,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
221,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"69,995"
222,Ford,GT,2022,3.5,660,550,2.9,"500,000"
223,Porsche,Taycan Turbo S,2021,N/A,750,774,2.6,"185,000"
224,Lamborghini,Urus,2021,4,641,627,3.2,"218,009"
225,Ferrari,812 Superfast,2021,6.5,789,530,2.9,"363,730"
226,Audi,R8 Spyder,2022,5.2,562,406,3.5,"183,300"
227,McLaren,GT,2021,4,612,465,3.1,"210,000"
228,BMW,M4,2022,3,473,406,4.1,"73,795"
229,Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"183,000"
230,Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"60,995"
231,Aston Martin,DB11,2022,5.2,630,516,3.5,"207,000"
232,Bentley,Continental GT,2022,6,626,664,3.5,"203,825"
233,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200"
234,Acura,NSX,2022,3.5,573,476,2.7,"157,500"
235,Lotus,Evora GT,2021,3.5,416,317,3.7,"99,800"
236,Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200"
237,Alfa Romeo,4C,2020,1.7,237,258,4.1,"67,150"
238,Audi,RS5,2022,2.9,444,443,3.7,"77,250"
239,BMW,M2 Competition,2021,3,405,406,4,"58,900"
240,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
241,Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"71,490"
242,Ford,GT,2022,3.5,660,550,2.8,"500,000"
243,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
244,Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,400"
245,Nissan,370Z Nismo,2021,3.7,350,276,4.6,"47,820"
246,Rolls-Royce,Wraith,2022,6.8,624,605,4.4,"330,000"
247,Subaru,WRX STI,2021,2.5,310,290,4.6,"38,170"
248,Tesla,Model S Plaid,2022,N/A,1020,1050,1.9,"131,190"
249,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000"
250,Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695"
251,Ferrari,Portofino,2022,3.9,591,413,3.3,"218,750"
252,Audi,RS7,2021,4,591,590,3.5,"114,000"
253,McLaren,600LT,2021,3.8,592,457,2.8,"256,500"
254,BMW,M2,2022,3,405,406,4,"58,900"
255,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500"
256,Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"40,590"
257,Ford,Mustang Mach 1,2021,5,480,420,4,"52,720"
258,Nissan,370Z Nismo,2021,3.7,350,276,4.6,"45,000"
259,Porsche,Panamera Turbo,2022,4,620,604,3.1,"174,300"
260,Lamborghini,Urus,2021,4,641,627,3.2,"222,004"
261,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000"
262,Audi,TT RS,2022,2.5,394,354,3.4,"67,895"
263,McLaren,GT,2021,4,612,465,3.1,"210,000"
264,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"62,290"
265,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"304,995"
266,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200"
267,Lexus,LC 500,2022,5,471,398,4.4,"93,050"
268,Porsche,Cayman GT4,2022,4,414,309,4.2,"101,200"
269,BMW,M2 Competition,2022,3,405,406,4,"59,895"
270,Audi,RS 5 Coupe,2021,2.9,444,443,3.7,"75,100"
271,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195"
272,Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000"
273,McLaren,GT,2021,4,612,465,3.1,"211,000"
274,Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000"
275,Bugatti,Chiron,2021,8,1500,1180,2.4,"2,998,000"
276,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"3,000,000"
277,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
278,Lamborghini,Aventador SVJ,2020,6.5,770,531,2.8,"573,966"
279,Rimac,C_Two,2022,Electric,1914,1732,1.85,"2,400,000"
280,Pagani,Huayra Roadster BC,2021,6,791,774,2.5,"3,500,000"
281,Pininfarina,Battista,2022,Electric,1874,1696,1.9,"2,500,000"
282,Acura,NSX,2022,3.5,573,476,2.9,"157,500"
283,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000"
284,Bentley,Continental GT,2022,4,542,568,3.9,"219,800"
285,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"70,000"
286,Jaguar,F-Type,2022,2,296,295,5.4,"61,600"
287,Kia,Stinger,2022,3.3,368,376,4.7,"52,200"
288,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450"
289,Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300"
290,Porsche,718 Cayman GT4,2022,4,414,309,4.2,"102,550"
291,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,400"
292,Audi,RS7,2021,4,591,590,3.5,"114,000"
293,BMW,M5,2022,4.4,600,553,3.2,"103,500"
294,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"69,000"
295,Ford,GT,2022,3.5,660,550,3,"500,000"
296,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826"
297,McLaren,Artura,2021,3,671,531,3,"225,000"
298,Mercedes-Benz,SLS AMG,2021,4,577,516,3.6,"247,500"
299,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790"
300,Porsche,Taycan,2022,Electric,616,774,2.6,"79,900"
301,Tesla,Model S,2022,Electric,1020,1050,1.98,"119,000"
302,Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"307,820"
303,Bentley,Continental GT,2022,4,542,568,3.4,"207,825"
304,Bugatti,Chiron,2021,8,1479,1180,2.3,"2,998,000"
305,McLaren,570S,2021,3.8,562,443,3.1,"202,500"
306,Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"185,000"
307,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826"
308,Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"276,550"
309,Audi,RS 7,2022,4,591,590,3.5,"114,000"
310,BMW,M2 CS,2022,3,444,406,4,"84,595"
311,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.2,"275,000"
312,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
313,Ford,GT,2022,3.5,660,550,3,"500,000"
314,Jaguar,F-Type,2021,5,575,516,3.5,"103,200"
315,Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950"
316,Maserati,GranTurismo,2022,4.7,454,384,4.8,"134,300"
317,McLaren,765LT,2021,4,755,590,2.8,"358,000"
318,Nissan,370Z,2021,3.7,332,270,5,"30,000"
319,Pagani,Huayra,2021,6,730,738,3,"2,600,000"
320,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000"
321,Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"131,100"
322,Aston Martin,DB11,2021,4,503,513,4,"201,495"
323,Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,"82,190"
324,Lotus,Evora,2021,3.5,416,317,3.8,"96,950"
325,Acura,NSX,2021,3.5,573,476,2.7,"159,495"
326,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,950"
327,Bentley,Continental GT,2021,6,626,664,3.3,"202,500"
328,Jaguar,F-Type,2022,3,380,339,4.9,"70,100"
329,Koenigsegg,Jesko,2022,5,1280,1015,2.5,"3,000,000"
330,Lexus,LC 500,2021,5,471,398,4.4,"92,950"
331,Maserati,GranTurismo,2022,4.7,454,384,4.8,"132,795"
332,McLaren,GT,2022,4,612,465,3.1,"215,500"
333,Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"80,900"
334,Porsche,718 Cayman,2021,2,300,280,4.9,"59,900"
335,Rolls-Royce,Wraith,2021,6.8,624,605,4.3,"330,000"
336,Tesla,Roadster,2022,-,1000+,-,1.9,"200,000"
337,Chevrolet,Camaro SS,2021,6.2,455,455,4,"40,000"
338,Ford,GT,2022,3.5,660,550,3,"500,000"
339,Acura,NSX,2022,3.5,573,476,2.7,"157,500"
